Location,Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Discount,Net Price,Qty,Void?,Void Reason
Los Gatos,36,4/12/24 7:00 PM,Xtra Veggies,,Salmon,0.00,0.00,1.0,false,
Los Gatos,37,4/13/24 4:40 PM,Add Mozzarella,Add Mozz,DD Meatballs,0.00,5.00,1.0,false,
Los Gatos,41,4/13/24 5:28 PM,No Basil Cheese On Side,,Spaghetti Marinara,0.00,0.00,1.0,false,
Los Gatos,41,4/13/24 5:37 PM,Add Giardinera,,The Alba,0.00,0.00,2.0,false,
Los Gatos,44,4/13/24 5:42 PM,Add Mozzarella,Add Mozz,DD Meatballs,0.00,5.00,1.0,false,
Los Gatos,46,4/13/24 5:47 PM,Add Salmon,Insalate Options,Gorgonzola Salad,0.00,14.00,1.0,false,
Los Gatos,46,4/13/24 5:47 PM,Full Salmon,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,51,4/13/24 6:37 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,52,4/13/24 6:41 PM,Add Arugula And Lemon,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,49,4/13/24 6:45 PM,All Cheese But Duck Salami,,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,49,4/13/24 6:54 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,49,4/13/24 6:54 PM,Well Done Chicken,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,57,4/13/24 7:25 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,57,4/13/24 7:25 PM,Glutenfree,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,57,4/13/24 7:26 PM,Add One Meatball,Pasta Options,Aglio e Olio,0.00,7.00,1.0,false,
Los Gatos,58,4/13/24 7:36 PM,Nada Picante,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/14/24 1:30 PM,One Bennie Firm Eggs,,Italian Benedict,0.00,0.00,2.0,false,
Los Gatos,4,4/14/24 1:30 PM,Add Lonzino,,Italian Benedict,0.00,12.00,2.0,false,
Los Gatos,6,4/14/24 2:05 PM,One Eggs No Focaccia,,Italian Benedict,0.00,0.00,1.0,true,Testing / Training
Los Gatos,2,4/15/24 12:09 PM,No Chili Spread,Calabrese Lo Riscaldo Mods,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,2,4/15/24 12:09 PM,No Side Of Greenz,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,1,4/15/24 12:24 PM,Castelvetranos Only,,3 Olive Sampler,0.00,0.00,1.0,false,
