Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,Parent Name,Parent Id,Parent Class
400000023213797290,07e5162c-091d-4fa6-a8f9-cffaee9a83b8,Thymiopolous 'Earth & Sky' Xinomavro,400000023213797291,,0.00,9/6/2022,No,No,Red Q-Z,400000000268246652,MenuGroup
400000002765913380,07eaf006-214f-49b9-b6b4-8919d60215a9,Rombauer Tasting,400000002765913381,,0.00,10/15/2019,Yes,No,WINE,400000000186055623,Menu
400000006717723820,07f801e8-b975-43ce-a182-c61bf8cf2cb4,El Gato Sauvignon Blanc 19,400000006717723821,,0.00,9/3/2020,Yes,No,White,400000000271238759,MenuGroup
400000019727993897,08149577-7e44-48ff-96cd-d3ae1e1d1213,Baxter Valenti Pinot Noir 15,400000019727993898,,0.00,5/5/2022,Yes,No,Red A-K,400000000186067251,MenuGroup
400000005441226099,081d6e56-cc3f-4e71-9ce2-3d1fad918183,Alfaro A Chardonnay 18,400000005441226700,,0.00,6/17/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000028694967456,0844ac8a-3a1e-46c2-84ce-06d1293e9552,Hartford Court Chardonnay 20,400000028694967457,,0.00,3/23/2023,Yes,No,White,400000000271238759,MenuGroup
400000004208953022,085dc637-006f-4db0-8ca3-86baa37629f0,Gobelsburg Riesling 17,400000004208953023,,0.00,2/20/2020,Yes,No,White,400000000186067255,MenuGroup
400000036921673887,086d3ba7-a2e5-45af-9157-0ecc9dcb261b,Alberice Amilcare 'Fogarina' Lambrusco,400000036921673888,,0.00,12/13/2023,Yes,No,Sparkling,400000000271238755,MenuGroup
400000034296353292,088432ca-d79f-41cb-86ca-7c1b5dd4fc39,Venison Berkshire Pork Salami,400000034296353293,,0.00,9/15/2023,No,No,SALUMI,400000000267942331,MenuGroup
400000005030365694,088adfb1-e3a5-4db6-bf1b-32f3a2e1f62a,Coquillette Brut NV,400000005030365695,,0.00,5/14/2020,Yes,No,Bubbles,400000000186067099,MenuGroup
400000002629770449,08b12e69-457f-4754-859b-586724519abd,Donnhoff Riesling Kabinett Oberhauser Leistenberg 18,400000002629771600,,0.00,10/2/2019,Yes,No,White,400000000186067255,MenuGroup
400000023410258949,08bf8e87-d5f4-45eb-aa96-dad80ba3c91c,Platinetti Guido Nebbiolo 19,400000023410259350,,0.00,9/14/2022,No,No,Red,400000000271238761,MenuGroup
400000007051164069,08d6b4cc-708e-40b2-8452-ba3b43bcc701,Annesanti Fregiara Trebbiano,400000007051164070,,0.00,9/22/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000000343602375,08e9a8c3-4251-400b-b5c1-b5f96ae65fe7,Monthly Club Charge,400000000343602376,,0.00,1/20/2019,Yes,No,WINE CLUB,400000000287676817,Menu
400000001738697753,0907a785-1236-4b9c-b187-cb7b40d48923,4 Monos GR10 Garnacha 17,400000001738697754,,0.00,7/8/2019,Yes,No,WINE CLUB,400000000287676817,Menu
400000000268254431,091c5373-b398-40c0-b74d-8c0a9d4f3fb1,Maestracci E Prove Crose Calvi Rouge 14,400000000268254432,,0.00,1/3/2019,Yes,No,Red L-P,400000000268246650,MenuGroup
400000000358107588,0938480e-98fd-474a-8441-6f57a2459b45,Conquilla Brut Cava NV,400000000358107589,,0.00,1/24/2019,Yes,No,Bubbles,400000000186067099,MenuGroup
400000004396929917,09388c0d-f15b-4aa3-acb4-df28e5506bbd,Annesanti Suppriscola Barbera 17,400000004396929918,,0.00,3/2/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000001738769065,095c136f-d7e1-422a-b773-8f4a25d5a263,Collemattoni Rosato 18,400000001738769066,,0.00,7/8/2019,Yes,No,WINE CLUB,400000000287676817,Menu
400000000909059328,09badc3b-ae08-44a0-951a-5ce0fa611e0d,Valle de Passos 15,400000000909059329,,0.00,4/12/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
